epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
168,15675,0.92453,0.61853,1.09019,0.98354,0.97423,0.98281,0.77679,0.79876,0.3358,1.06741,0.0003467,0.0003467,0.0003467
169,15751.9,0.91421,0.61211,1.08249,0.98842,0.97423,0.98154,0.78286,0.78884,0.33398,1.06073,0.0003368,0.0003368,0.0003368
170,15828.1,0.9114,0.60565,1.08271,0.98376,0.96907,0.98182,0.77571,0.79449,0.33723,1.06037,0.0003269,0.0003269,0.0003269
171,15900.2,0.92513,0.61574,1.09027,0.97917,0.96901,0.98292,0.77232,0.80427,0.34055,1.06824,0.000317,0.000317,0.000317
172,15980.1,0.91041,0.60403,1.08103,0.9947,0.96709,0.98122,0.77496,0.80728,0.33614,1.07596,0.0003071,0.0003071,0.0003071
173,16052.6,0.91395,0.60981,1.08544,0.99368,0.96907,0.98316,0.77918,0.80129,0.33722,1.07242,0.0002972,0.0002972,0.0002972
174,16125.7,0.90774,0.60059,1.07974,0.98892,0.96392,0.9831,0.7784,0.79619,0.33653,1.06459,0.0002873,0.0002873,0.0002873
175,16205,0.89642,0.6038,1.07983,0.98908,0.96392,0.98254,0.77499,0.7972,0.33686,1.06481,0.0002774,0.0002774,0.0002774
176,16276.7,0.91036,0.60452,1.08096,0.98352,0.96392,0.98292,0.78244,0.78868,0.3306,1.05776,0.0002675,0.0002675,0.0002675
177,16353.6,0.91731,0.60231,1.08681,0.9883,0.96907,0.98403,0.78095,0.78702,0.33132,1.05658,0.0002576,0.0002576,0.0002576
178,16428.4,0.91294,0.60966,1.08607,0.98728,0.96907,0.98538,0.78333,0.78631,0.33227,1.05667,0.0002477,0.0002477,0.0002477
179,16502.7,0.91623,0.60347,1.08553,0.97924,0.97244,0.98463,0.78829,0.79427,0.33239,1.06216,0.0002378,0.0002378,0.0002378
180,16581.8,0.90432,0.60335,1.07681,0.99469,0.96615,0.98527,0.78999,0.78361,0.32699,1.05495,0.0002279,0.0002279,0.0002279
181,16654.4,0.91138,0.60146,1.08561,0.98935,0.97423,0.98541,0.7929,0.77207,0.3234,1.05034,0.000218,0.000218,0.000218
